Resumo Financeiro
Período: 01/10/2025 a 29/10/2025
Gerado em: 

Resumo Geral
Total de Receitas,"R$ 15.000,00"
Total de Despesas,"R$ 640,00"
Saldo Líquido,"R$ 14.360,00"
Total de Transações,7


RECEITAS
Categoria,Total,Porcentagem,Quantidade
Salário,"R$ 10.000,00",66.67%,3
Freelance,"R$ 5.000,00",33.33%,1
TOTAL,"R$ 15.000,00",100%,""

DESPESAS
Categoria,Total,Porcentagem,Quantidade
Outras Despesas,"R$ 390,00",60.94%,2
Assinaturas,"R$ 250,00",39.06%,1
TOTAL,"R$ 640,00",100%,""

CONTAS
Conta,Tipo,Saldo Atual,Saldo Inicial
Conta Corrente Teste,Checking,"R$ 15.000,00","R$ 0,00"
